"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 01 17:53:13 MSK 2020","Tue Dec 01 17:54:09 MSK 2020","55955","","Переводы SWIFT - интеграционные тесты","","Переводы SWIFT - интеграционные тесты","Выгрузка квитанции со страницы успешного перевода SWIFT (со счета)","Выгрузка квитанции со страницы успешного перевода SWIFT (со счета)",""
"skipped","Tue Dec 01 18:11:26 MSK 2020","Tue Dec 01 18:11:26 MSK 2020","0","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по логину/паролю - блокировка при превышении попыток ввода неверного пароля","Ошибка при входе по логину/паролю - блокировка при превышении попыток ввода неверного пароля",""
"passed","Tue Dec 01 18:04:25 MSK 2020","Tue Dec 01 18:04:47 MSK 2020","22591","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов установлены все условия","Пользователю отображается список вкладов установлены все условия",""
"failed","Tue Dec 01 18:25:17 MSK 2020","Tue Dec 01 18:25:38 MSK 2020","21427","","Блокировка карты временная - интеграционные тесты","","Блокировка карты временная - интеграционные тесты","Временная блокировка карты должна пройти успешно","Временная блокировка карты должна пройти успешно",""
"passed","Tue Dec 01 18:12:14 MSK 2020","Tue Dec 01 18:12:24 MSK 2020","9735","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по продукту - не верный формат телефона","Ошибка при входе по продукту - не верный формат телефона",""
"failed","Tue Dec 01 18:00:22 MSK 2020","Tue Dec 01 18:02:28 MSK 2020","126126","","Открытие вклада Рустащий процент - интеграционные тесты","","Открытие вклада Рустащий процент - интеграционные тесты","Открытие вклада растущий процент в рублях","Открытие вклада растущий процент в рублях",""
"failed","Tue Dec 01 17:06:46 MSK 2020","Tue Dec 01 17:10:12 MSK 2020","206135","","PaymentForm - ЖКУ - integration tests","","PaymentForm - ЖКУ - integration tests","Выгрузка квитанции на email со страницы успешного оплаты ЖКУ (с карты)","Выгрузка квитанции на email со страницы успешного оплаты ЖКУ (с карты)",""
"failed","Tue Dec 01 18:05:53 MSK 2020","Tue Dec 01 18:06:14 MSK 2020","20765","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов на основе набора параметров 2","Пользователю отображается список вкладов на основе набора параметров 2",""
"failed","Tue Dec 01 17:39:56 MSK 2020","Tue Dec 01 17:39:56 MSK 2020","45","","Переводы между своими счетами - интеграционные тесты","","Переводы между своими счетами - интеграционные тесты","Проверить в ленте операций отображение операции перевода Между своими счетами (со счета на карту) с конверсией","Проверить в ленте операций отображение операции перевода Между своими счетами (со счета на карту) с конверсией",""
"passed","Tue Dec 01 18:23:45 MSK 2020","Tue Dec 01 18:24:38 MSK 2020","53036","","Интеграционные тесты автоплатежей","","Интеграционные тесты автоплатежей","Создание бессрочного автоплатежа должно пройти успешно","Создание бессрочного автоплатежа должно пройти успешно",""
