"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Nov 02 11:59:32 MSK 2020","Mon Nov 02 11:59:32 MSK 2020","0","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","should go to DepositOpenForm when: there are hidden deposits and more button in aside","should go to DepositOpenForm when: there are hidden deposits and more button in aside",""
"failed","Mon Nov 02 11:05:48 MSK 2020","Mon Nov 02 11:08:00 MSK 2020","132379","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Успешный перевод с неверифицированным номером телефона","Успешный перевод с неверифицированным номером телефона",""
"passed","Mon Nov 02 11:03:06 MSK 2020","Mon Nov 02 11:03:16 MSK 2020","9233","","Интеграционные тесты входа в приложение","","Интеграционные тесты входа в приложение","Ошибка при входе по продукту - не верный формат телефона","Ошибка при входе по продукту - не верный формат телефона",""
"skipped","Mon Nov 02 12:21:59 MSK 2020","Mon Nov 02 12:21:59 MSK 2020","0","","Проверка карточек продуктов-призраков по Вкладам","","Проверка карточек продуктов-призраков по Вкладам","Отклик на предложение ""Мне интересно""","Отклик на предложение ""Мне интересно""",""
"passed","Mon Nov 02 12:34:37 MSK 2020","Mon Nov 02 12:34:47 MSK 2020","10169","","Бонусная система рыбки - баланс - интеграционные тесты","","Бонусная система рыбки - баланс - интеграционные тесты","Баланс должен упешно отобразиться","Баланс должен упешно отобразиться",""
"passed","Mon Nov 02 11:09:43 MSK 2020","Mon Nov 02 11:10:05 MSK 2020","22728","","Переводы по номеру карты клиенту банка - интеграционные тесты","","Переводы по номеру карты клиенту банка - интеграционные тесты","Должна отображаться ошибка при вводе номера карты","Должна отображаться ошибка при вводе номера карты",""
"failed","Mon Nov 02 11:08:00 MSK 2020","Mon Nov 02 11:09:43 MSK 2020","102307","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Должна отобаржаться ошибка при превышении лимита и успешно проходить платеж без превышения","Должна отобаржаться ошибка при превышении лимита и успешно проходить платеж без превышения",""
"passed","Mon Nov 02 11:59:13 MSK 2020","Mon Nov 02 11:59:32 MSK 2020","18938","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","Не должен отображаться выбор продукта при открытии накопительного счета в 0 рублей","Не должен отображаться выбор продукта при открытии накопительного счета в 0 рублей",""
"passed","Mon Nov 02 11:59:32 MSK 2020","Mon Nov 02 12:01:39 MSK 2020","127360","","Открытие накопительного счета - интеграционные тесты","","Открытие накопительного счета - интеграционные тесты","Открытие вклада Максимальный в рублях","Открытие вклада Максимальный в рублях",""
"passed","Mon Nov 02 12:29:15 MSK 2020","Mon Nov 02 12:29:55 MSK 2020","39817","","Закрытие вклада - интеграционные тесты","","Закрытие вклада - интеграционные тесты","Закрытие вклада должно отрабатываться корректно","Закрытие вклада должно отрабатываться корректно",""
"skipped","Mon Nov 02 12:21:59 MSK 2020","Mon Nov 02 12:21:59 MSK 2020","0","","Проверка карточек продуктов-призраков по Вкладам","","Проверка карточек продуктов-призраков по Вкладам","Отказ от предложения с выбором причины ""Мне не интересно""","Отказ от предложения с выбором причины ""Мне не интересно""",""
"passed","Mon Nov 02 11:03:17 MSK 2020","Mon Nov 02 11:03:41 MSK 2020","23513","","Переводы по номеру карты - интеграционные тесты","","Переводы по номеру карты - интеграционные тесты","Должна отображаться ошибка при вводе номера карты","Должна отображаться ошибка при вводе номера карты",""
"passed","Mon Nov 02 11:52:01 MSK 2020","Mon Nov 02 11:52:21 MSK 2020","19231","","Депозиты - Калькулятор - интеграционные тесты","","Депозиты - Калькулятор - интеграционные тесты","Пользователю отображается список вкладов с возможностью частичного снятия","Пользователю отображается список вкладов с возможностью частичного снятия",""
"passed","Mon Nov 02 12:27:00 MSK 2020","Mon Nov 02 12:27:31 MSK 2020","30553","","Отображение POS кредита - интеграционные тесты","","Отображение POS кредита - интеграционные тесты","POS кредит должен отображаться корректно","POS кредит должен отображаться корректно",""
"passed","Mon Nov 02 12:32:16 MSK 2020","Mon Nov 02 12:32:45 MSK 2020","29193","","Установка ПИН-кода - интеграционные тесты","","Установка ПИН-кода - интеграционные тесты","Установка ПИН-кода должна работать корректно","Установка ПИН-кода должна работать корректно",""
"passed","Mon Nov 02 12:34:04 MSK 2020","Mon Nov 02 12:34:31 MSK 2020","27169","","Кредитная карта - выписки - интеграционные тесты","","Кредитная карта - выписки - интеграционные тесты","Документ выписки должен успешно выгрузится","Документ выписки должен успешно выгрузится",""
"passed","Mon Nov 02 12:14:31 MSK 2020","Mon Nov 02 12:17:00 MSK 2020","149137","","PaymentForm - ЖКУ - integration tests","","PaymentForm - ЖКУ - integration tests","Выгрузка квитанции со страницы успешного оплаты ЖКУ (с карты)","Выгрузка квитанции со страницы успешного оплаты ЖКУ (с карты)",""
